"{""columnType"":""DIMENSION"";""dataType"":""STRING"";""name"":""ga:pagePath""}";"{""columnType"":""DIMENSION"";""dataType"":""STRING"";""name"":""ga:date""}";"{""columnType"":""METRIC"";""dataType"":""INTEGER"";""name"":""ga:visits""}";"{""columnType"":""METRIC"";""dataType"":""INTEGER"";""name"":""ga:visitors""}";"{""columnType"":""METRIC"";""dataType"":""TIME"";""name"":""ga:avgTimeOnPage""}";"{""columnType"":""METRIC"";""dataType"":""INTEGER"";""name"":""ga:pageviews""}";"{""columnType"":""METRIC"";""dataType"":""TIME"";""name"":""ga:timeOnPage""}";"{""columnType"":""METRIC"";""dataType"":""INTEGER"";""name"":""ga:uniquepageviews""}";
/;20090923;16;13;9.932.142.857.142.850;42;2781.0;16;
/;20090924;48;44;5.560.606.060.606.060;57;1835.0;48;
/;20090925;91;88;6.074.683.544.303.790;131;4799.0;91;
/;20090926;26;24;3.838.461.538.461.530;31;499.0;26;
/;20090927;22;23;111.875;33;1790.0;24;
/;20090928;71;67;3.826.315.789.473.680;98;2181.0;71;
/;20090929;89;82;53.225;125;4258.0;89;
/;20090930;58;58;6.504.166.666.666.660;79;3122.0;60;
/;20091001;43;41;36.114.285.714.285.700;63;1264.0;45;
/;20091002;55;54;7.076.470.588.235.290;69;2406.0;58;
/;20091003;19;18;30.0;25;240.0;20;
/;20091004;33;31;10.447.058.823.529.400;58;3552.0;35;
/;20091005;90;84;1.203.913.043.478.260;146;8307.0;90;
/;20091006;73;65;14.164.772.727.272.700;140;12465.0;75;
/;20091007;41;41;37.56;54;939.0;43;
/;20091008;38;37;13.679.166.666.666.600;43;3283.0;38;
/;20091009;47;43;17.170.967.741.935.400;61;5323.0;47;
/;20091010;14;15;27.4;16;137.0;15;
/;20091011;19;20;11.673.684.210.526.300;32;2218.0;22;
/;20091012;42;48;3.742.857.142.857.140;64;1310.0;49;
/;20091013;47;47;68.75;74;2750.0;53;
/;20091014;34;35;6.847.619.047.619.040;43;1438.0;36;
/;20091015;32;30;49.142.857.142.857.100;36;688.0;33;
/;20091016;17;19;448.125;27;717.0;19;
/;20091017;20;21;32.1;27;321.0;21;
/;20091018;15;16;63.0;20;504.0;16;
/;20091019;23;23;6.915.384.615.384.610;31;899.0;24;
/;20091020;30;23;4.893.103.448.275.860;50;1419.0;32;
/;20091021;11;10;30.8;14;154.0;13;
/;20091022;22;20;22.0;28;242.0;22;
/;20091023;17;17;27.5;21;275.0;17;
/;20091024;15;15;36.666.666.666.666.600;17;330.0;15;
/;20091025;18;17;7.366.666.666.666.660;23;663.0;18;
/;20091026;37;35;28.703.703.703.703.700;52;775.0;37;
/;20091027;28;29;87.1;40;1742.0;29;
/;20091028;24;24;126.125;30;2018.0;25;
/;20091029;38;37;4.254.545.454.545.450;46;936.0;38;
/;20091030;45;38;9.933.333.333.333.330;65;4172.0;45;
/;20091031;20;19;4.305.555.555.555.550;30;775.0;20;
/;20091101;14;14;69.875;16;559.0;14;
/;20091102;33;30;38.333.333.333.333.300;42;805.0;33;
/;20091103;20;21;35.888.888.888.888.800;24;323.0;21;
/;20091104;12;12;17.454.545.454.545.400;16;192.0;12;
/;20091105;19;19;3.269.230.769.230.760;28;425.0;20;
/;20091106;22;22;38.214.285.714.285.700;30;535.0;23;
/;20091107;12;14;82.5;17;495.0;14;
/;20091108;11;13;21.272.727.272.727.200;19;234.0;13;
/;20091109;16;15;20.7;21;207.0;16;
/;20091110;18;17;3.369.230.769.230.760;26;438.0;18;
/;20091111;17;11;7.666.666.666.666.660;18;460.0;17;
/;20091112;15;13;31.0;18;217.0;15;
/;20091113;16;14;109.0;21;1090.0;16;
/;20091114;11;11;28.5;11;57.0;11;
/;20091115;8;8;39.6;10;198.0;8;
/;20091116;13;13;22.0;23;264.0;15;
/;20091117;22;16;24.2;24;242.0;22;
/;20091118;23;24;3.636.842.105.263.150;37;691.0;25;
/;20091119;71;73;7.514.492.753.623.180;105;5185.0;75;
/;20091120;35;33;3.135.483.870.967.740;49;972.0;35;
/;20091121;17;18;34.0;20;272.0;18;
/;20091122;16;16;38.5;19;385.0;16;
/;20091123;31;29;19.157.894.736.842.100;40;364.0;31;
/;20091124;21;18;10.666.666.666.666.600;26;640.0;22;
/;20091125;26;23;13.141.176.470.588.200;37;2234.0;27;
/;20091126;23;22;57.5;25;575.0;23;
/;20091127;17;16;19.357.142.857.142.800;22;271.0;17;
/;20091128;11;11;3.457.142.857.142.850;13;242.0;11;
/;20091129;11;11;8.788.888.888.888.880;16;791.0;11;
/;20091130;24;23;60.705.882.352.941.100;35;1032.0;25;
/;20091201;32;30;4.395.652.173.913.040;50;1011.0;33;
/;20091202;26;24;142.5;30;1140.0;26;
/;20091203;19;18;30.555.555.555.555.500;20;275.0;19;
